country,area,code,density,"median_age","population_2019","population_2020","urban_percentage"
"United States Virgin Islands",350,850,298,43,"104.58","104.42",96
Uruguay,175020,858,20,36,"3461.73","3473.73",96
Uzbekistan,425400,860,79,28,"32981.72","33469.20",50
Vanuatu,12190,548,25,21,"299.88","307.15",24
Venezuela,882050,862,32,30,"28515.83","28435.94",
Vietnam,310070,704,314,32,"96462.11","97338.58",38
WORLD,,900,,,"7713468.21","7794798.73",
"Wallis & Futuna Islands",140,876,80,,"11.44","11.25",0
"Western Africa",,914,,,"391440.15","401861.26",
"Western Asia",,922,,,"275324.79","279636.77",
"Western Europe",,926,,,"195522.41","196146.32",
"Western Sahara",266000,732,2,28,"582.46","597.33",87
Yemen,527970,887,56,20,"29161.92","29825.97",38
Zambia,743390,894,25,18,"17861.03","18383.96",45
Zimbabwe,386850,716,38,19,"14645.47","14862.93",38
